,category,sub_category,company_url
306,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/mixcosmetiques.com
307,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/capwells.com
308,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/pmuprofessional.com
309,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/modellauncher.com
310,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/smdcosmetics.com
311,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/shop.underskin.com
312,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/caspah.com
313,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/dor24k.com
314,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/fabfitfun.com
315,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/smellgoodspa.com
316,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/tubellas.com
317,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/www.carmensperfumes.com
318,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/yourdestinyessentials.com
319,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/vitaevalue.com
320,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/www.locsofluxey.com
321,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/oceanebeauty.com
322,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/www.rejuvaustralia.com.au
323,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/parafragrance.com
324,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/www.premierdeadsea-usa.com
325,Beauty & Well-being,Cosmetics & Makeup,https://www.trustpilot.com/review/marx-med.com
